id;name;brand;link;actual_price;old_price
366305;RIOBA Шоколад молочный (5г х 160шт), 800г;RIOBA;https://online.metro-cc.ru/products/rioba-porcionnyj-molochnyj-32-kakao-800g;809;
366306;RIOBA Шоколад горький (5г х 160шт), 800г;RIOBA;https://online.metro-cc.ru/products/rioba-porcionnyj-gorkij-72-kakao-800g;809;
366302;RIOBA Шоколад темный (5г х 160шт), 800г;RIOBA;https://online.metro-cc.ru/products/rioba-porcionnyj-temnyj-51-kakao-800g;809;
138161;RIOBA Мини-шоколад Ассорти 6 вкусов, 800г;RIOBA;https://online.metro-cc.ru/products/800g-mini-shokolad-rioba-assorti-6-vkusov;939;
337582;Набор шоколада Ritter Sport Mini порционного, 1.4кг;RITTER SPORT;https://online.metro-cc.ru/products/ritter-sport-nabor-porcionnogo-mini-14kg;2079;
138160;RIOBA Шоколад Ассорти 4 вкуса, 800г;RIOBA;https://online.metro-cc.ru/products/800g-shokolad-rioba-assorti-4-vkusa;989;
114895;Шоколад Россия Щедрая душа Больше какао молочный с миндалем и изюмом, 82г;РОССИЯ ЩЕДРАЯ ДУША;https://online.metro-cc.ru/products/molochnyj-rossiya-schedraya-dusha-mindal-izyum-82g;62.90;
335607;Батончик Kinder Bueno вафельный в молочном шоколаде 43г x 3шт, 129г;KINDER BUENO;https://online.metro-cc.ru/products/vafli-kinder-nbspbueno-v-molochnom-43gh3sht;245;
114125;Батончик Bounty шоколадный 27.5г х 6шт, 165г;BOUNTY;https://online.metro-cc.ru/products/6h275g-konfety-bounty-shokoladnye-mp;119;151
112694;Шоколад Milka молочный, 85г;MILKA;https://online.metro-cc.ru/products/shokolad-milka-molochnyj-85g;109;
445183;Конфеты M&M's Драже с арахисом, 360г;M&M'S;https://online.metro-cc.ru/products/m-m-039s-drazhe-s-arahisom-360g;399;
456037;Батончик Snickers шоколадный, 51г;SNICKERS;https://online.metro-cc.ru/products/snickers-c-arahisom-505g;43.99;
401986;Батончик Twix шоколадный карамель, 55г;TWIX;https://online.metro-cc.ru/products/twix-40h55g-401986;43.99;
117603;Батончик Snickers Super шоколадный, 80г;SNICKERS;https://online.metro-cc.ru/products/80g-snickers-super;75.90;
117441;Шоколад Красный Октябрь Аленка много молока + кальций, 90г;АЛЕНКА;https://online.metro-cc.ru/products/90g-alyonka-mnogo-moloka;89.90;
469090;Шоколад Ritter Sport молочный Альпийское молоко, 100г;RITTER SPORT;https://online.metro-cc.ru/products/ritter-sport-molochnyj-alpijskoe-moloko-100g;139;161
401987;Батончик Twix Экстра шоколадный, 82г;TWIX;https://online.metro-cc.ru/products/art-401987;75.90;
114126;Батончик Milky Way шоколадный 4шт, 104г;MILKY WAY;https://online.metro-cc.ru/products/4h26g-batonchik-milky-way-shokoladnyj-mp;69.90;85.90
121735;Драже M&M's с арахисом, 80г;M&M'S;https://online.metro-cc.ru/products/80g-drazhe-m-m-039s-s-arahisom;110;
114122;Батончик Snickers шоколадный 40г х 4шт, 160г;SNICKERS;https://online.metro-cc.ru/products/4h40g-batonchik-snickers-shokoladnyj-mp;119;151
451517;Шоколад Бабаевский со сливочной начинкой, 50г;БАБАЕВСКИЙ;https://online.metro-cc.ru/products/babaevskij-so-slivochnoj-nachinkoj-50g;49.99;
413415;Шоколад Красный Октябрь Аленка молочный, 15г;АЛЕНКА;https://online.metro-cc.ru/products/krasnyj-oktyabr-alenka-15g;18.90;20.99
200990;Шоколад Бабаевский элитный, 90г;БАБАЕВСКИЙ;https://online.metro-cc.ru/products/shokolad-babaevskij-elitnyj;109;
114124;Батончик Twix шоколадный 55г х 3шт, 165г;TWIX;https://online.metro-cc.ru/products/3h55g-batonchik-twix-shokoladnyj-mp;119;151
138899;Шоколад Red Delight темный с апельсином и миндалем, 85г;RED;https://online.metro-cc.ru/products/85g-shokolad-red-delight-tyomnyy-apelsinmindal;129;209
597352;Шоколад Ritter Sport молочный лесной орех, 100г;RITTER SPORT;https://online.metro-cc.ru/products/ritter-sport-molochnyj-lesnoj-oreh-100g;139;161
401982;Батончик Bounty Трио шоколадный, 83г;BOUNTY;https://online.metro-cc.ru/products/bounty-trio-825g-401982;75.90;
34152;Шоколад Ritter Sport темный миндаль и апельсин, 100г;RITTER SPORT;https://online.metro-cc.ru/products/temnyj-ritter-sport-mindal-apelsin-s-droblenym-mindalem-kusochkami-apelsinovoj-cedry-100g;139;161
559453;Шоколад Ritter Sport белый Цельный лесной орех и хлопья, 100г;RITTER SPORT;https://online.metro-cc.ru/products/ritter-sport-belyj-celnyj-lesnoj-oreh-hlopya-100g;169;
453396;Шоколад Априори горький 99% какао (5г х 20шт), 100г;АПРИОРИ;https://online.metro-cc.ru/products/gorkij-apriori-99-kakao-100g;209;
